"prior","ball_selected","ball_value","knows_endowment","donation_percentage","donation_amount","welfare_tradeoff_rating","empathy_rating","time_taken","low_value_color","high_value_color","question_order","agent_name","comprehension_check_1","comprehension_check_2","bot_check","gender","age","comp1_correct","comp2_correct","pid"
"poor","high_value",100,"true",75,75,7,6,5.41,"#FFB74D","#64B5F6","empathy_rating,welfare_tradeoff_rating","Barbara","Yes","Orange and Blue",NA,"Woman","36",TRUE,TRUE,3
"poor","low_value",20,"true",100,20,7,7,4.138,"#FFB74D","#64B5F6","empathy_rating,welfare_tradeoff_rating","Jennifer","Yes","Orange and Blue",NA,"Woman","36",TRUE,TRUE,3
"poor","low_value",20,"true",25,5,4,2,7.455,"#FFB74D","#64B5F6","empathy_rating,welfare_tradeoff_rating","Lisa","Yes","Orange and Blue",NA,"Woman","36",TRUE,TRUE,3
"poor","high_value",100,"true",0,0,1,1,4.96,"#FFB74D","#64B5F6","empathy_rating,welfare_tradeoff_rating","Betty","Yes","Orange and Blue",NA,"Woman","36",TRUE,TRUE,3
"poor","high_value",100,"true",50,50,6,5,4.348,"#FFB74D","#64B5F6","empathy_rating,welfare_tradeoff_rating","Charlotte","Yes","Orange and Blue",NA,"Woman","36",TRUE,TRUE,3
"poor","low_value",20,"true",50,10,6,4,9.227,"#FFB74D","#64B5F6","empathy_rating,welfare_tradeoff_rating","Isabella","Yes","Orange and Blue",NA,"Woman","36",TRUE,TRUE,3
"poor","low_value",20,"false",25,5,2,2,6.147,"#FFB74D","#64B5F6","empathy_rating,welfare_tradeoff_rating","Amelia","Yes","Orange and Blue",NA,"Woman","36",TRUE,TRUE,3
"poor","low_value",20,"true",50,10,6,6,4.786,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Sarah","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","low_value",20,"false",25,5,5,5,17.617,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Alice","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","low_value",20,"true",25,5,5,5,6.945,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Mary","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","high_value",100,"true",75,75,7,7,9.07,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Betty","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","low_value",20,"true",75,15,7,7,18.175,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Patricia","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","low_value",20,"false",50,10,5,5,3.096,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Sophia","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","high_value",100,"true",100,100,7,7,3.032,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Jessica","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","low_value",20,"true",0,0,1,1,8.848,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Margaret","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","low_value",20,"false",100,20,7,7,22.633,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Mia","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","low_value",20,"false",75,15,6,6,2.791,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Barbara","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","high_value",100,"true",50,50,6,6,4.118,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Susan","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","high_value",100,"true",25,25,5,5,3.104,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Julia","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","low_value",20,"true",100,20,7,7,2.51,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Charlotte","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","high_value",100,"false",75,75,7,7,4.188,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Isabella","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","high_value",100,"true",15,15,5,5,16.099,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Lisa","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","high_value",100,"false",50,50,6,6,5.166,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Linda","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","high_value",100,"false",25,25,5,5,10.775,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Elizabeth","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","low_value",20,"false",0,0,1,1,2.983,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Nancy","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","high_value",100,"false",15,15,6,6,18.822,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Stephanie","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","low_value",20,"false",15,3,4,4,9.512,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Ava","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","low_value",20,"true",15,3,4,4,2.944,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Jennifer","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","high_value",100,"true",0,0,1,1,2.539,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Olivia","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","high_value",100,"false",0,0,1,1,2.572,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Amelia","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"poor","high_value",100,"false",100,100,7,7,2.666,"#FFB74D","#64B5F6","welfare_tradeoff_rating,empathy_rating","Emma","Yes","Orange and Blue",NA,"Man","39",TRUE,TRUE,4
"rich","high_value",100,"true",15,15,3,3,10.44,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Isabella","Yes","Orange and Blue",NA,"Man","38",TRUE,TRUE,5
"rich","low_value",20,"false",0,0,1,1,20.455,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Sophia","Yes","Orange and Blue",NA,"Man","38",TRUE,TRUE,5
"rich","low_value",20,"true",0,0,1,1,9.451,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Alice","Yes","Orange and Blue",NA,"Man","38",TRUE,TRUE,5
"rich","low_value",20,"false",25,5,1,2,11.634,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Sarah","Yes","Orange and Blue",NA,"Man","38",TRUE,TRUE,5
"rich","high_value",100,"true",25,25,4,4,9.13,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Margaret","Yes","Orange and Blue",NA,"Man","38",TRUE,TRUE,5
"rich","high_value",100,"false",25,25,5,4,16.537,"#64B5F6","#FFB74D","empathy_rating,welfare_tradeoff_rating","Lisa","Yes","Orange and Blue",NA,"Man","38",TRUE,TRUE,5
